https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1746316800,2025-05-04 00:00:00,BAT/USD,0.14567,0.14567,0.13900,0.13920,3094.10818199,430.699858933008
1746230400,2025-05-03 00:00:00,BAT/USD,0.15159,0.15159,0.14551,0.14681,3325.91359461,488.2773748246941
1746144000,2025-05-02 00:00:00,BAT/USD,0.15516,0.15516,0.15516,0.15516,0.00000000,0.0
1746057600,2025-05-01 00:00:00,BAT/USD,0.15168,0.15516,0.15101,0.15516,540.75122043,83.90295936191879
1745971200,2025-04-30 00:00:00,BAT/USD,0.14976,0.15264,0.14688,0.15264,944.51173751,144.1702716135264
1745884800,2025-04-29 00:00:00,BAT/USD,0.15041,0.15199,0.15033,0.15173,537.12731653,81.4983277370969
1745798400,2025-04-28 00:00:00,BAT/USD,0.15056,0.15941,0.15044,0.15298,31692.93511373,4848.385213698416
1745712000,2025-04-27 00:00:00,BAT/USD,0.14446,0.14448,0.14445,0.14447,7762.16348225,1121.3997582806574
1745625600,2025-04-26 00:00:00,BAT/USD,0.14782,0.14782,0.14782,0.14782,0.00000000,0.0
1745539200,2025-04-25 00:00:00,BAT/USD,0.14781,0.14782,0.14781,0.14782,5151.33333333,761.4700933328406
1745452800,2025-04-24 00:00:00,BAT/USD,0.13889,0.13889,0.13889,0.13889,137.75985405,19.133466129004503
1745366400,2025-04-23 00:00:00,BAT/USD,0.14224,0.14325,0.14041,0.14141,16726.70768295,2365.3237334459595
1745280000,2025-04-22 00:00:00,BAT/USD,0.13360,0.13532,0.13360,0.13532,8933.25592504,1208.848191776413
1745193600,2025-04-21 00:00:00,BAT/USD,0.13051,0.13051,0.13051,0.13051,0.00000000,0.0
1745107200,2025-04-20 00:00:00,BAT/USD,0.13051,0.13051,0.13051,0.13051,0.00000000,0.0
1745020800,2025-04-19 00:00:00,BAT/USD,0.13231,0.13231,0.13051,0.13051,8298.86355069,1083.0846820005518
1744934400,2025-04-18 00:00:00,BAT/USD,0.12899,0.12899,0.12897,0.12897,800.00000000,103.176
1744848000,2025-04-17 00:00:00,BAT/USD,0.12293,0.12310,0.12293,0.12310,17046.50855000,2098.425202505
1744761600,2025-04-16 00:00:00,BAT/USD,0.12260,0.12260,0.12260,0.12260,385.18147911,47.223249338886
1744675200,2025-04-15 00:00:00,BAT/USD,0.12443,0.12443,0.12443,0.12443,0.00000000,0.0
1744588800,2025-04-14 00:00:00,BAT/USD,0.12298,0.12800,0.12298,0.12443,15035.08485422,1870.8156084105947
1744502400,2025-04-13 00:00:00,BAT/USD,0.12960,0.12961,0.12700,0.12700,2013.68928592,255.73853931184001
1744416000,2025-04-12 00:00:00,BAT/USD,0.12688,0.12688,0.12688,0.12688,0.00000000,0.0
1744329600,2025-04-11 00:00:00,BAT/USD,0.12688,0.12688,0.12688,0.12688,395.73201303,50.2104778132464
1744243200,2025-04-10 00:00:00,BAT/USD,0.12567,0.12567,0.12002,0.12004,20567.37491804,2468.9076851615214
1744156800,2025-04-09 00:00:00,BAT/USD,0.10971,0.12507,0.10971,0.12507,769.07266687,96.1879184454309
1744070400,2025-04-08 00:00:00,BAT/USD,0.12227,0.12227,0.12227,0.12227,198.08256081,24.2195547102387
1743984000,2025-04-07 00:00:00,BAT/USD,0.11744,0.12106,0.10888,0.11826,31080.27024486,3675.5527591571436
1743897600,2025-04-06 00:00:00,BAT/USD,0.12500,0.12500,0.12000,0.12372,4799.12242967,593.7474269987724
1743811200,2025-04-05 00:00:00,BAT/USD,0.13423,0.13423,0.12991,0.13189,16922.96393249,2231.9697130561062
1743724800,2025-04-04 00:00:00,BAT/USD,0.13250,0.13519,0.12885,0.13490,10952.11790082,1477.4407048206178
1743638400,2025-04-03 00:00:00,BAT/USD,0.13272,0.13272,0.12970,0.13227,10512.89847673,1390.5410815170771
1743552000,2025-04-02 00:00:00,BAT/USD,0.13547,0.13841,0.12800,0.12800,12065.89037404,1544.43396787712
1743465600,2025-04-01 00:00:00,BAT/USD,0.13867,0.14225,0.13866,0.14066,6337.44119488,891.4244784718209
1743379200,2025-03-31 00:00:00,BAT/USD,0.13422,0.13682,0.13422,0.13672,3233.07842834,442.0264827226448
1743292800,2025-03-30 00:00:00,BAT/USD,0.13639,0.13719,0.13450,0.13538,1314.25662149,177.9240614173162
1743206400,2025-03-29 00:00:00,BAT/USD,0.14202,0.14216,0.13417,0.13417,31049.68427969,4165.936139806007
1743120000,2025-03-28 00:00:00,BAT/USD,0.14820,0.14820,0.14080,0.14221,24537.67605643,3489.50291198491
1743033600,2025-03-27 00:00:00,BAT/USD,0.15314,0.15330,0.15314,0.15330,13052.86966770,2001.00492005841
1742947200,2025-03-26 00:00:00,BAT/USD,0.16038,0.16038,0.15486,0.15486,3150.88265958,487.94568866255884
1742860800,2025-03-25 00:00:00,BAT/USD,0.14700,0.14700,0.14700,0.14700,0.00000000,0.0
1742774400,2025-03-24 00:00:00,BAT/USD,0.14700,0.14700,0.14700,0.14700,0.00000000,0.0
1742688000,2025-03-23 00:00:00,BAT/USD,0.14700,0.14700,0.14700,0.14700,6817.62761904,1002.19125999888
1742601600,2025-03-22 00:00:00,BAT/USD,0.14655,0.14655,0.14655,0.14655,0.00000000,0.0
1742515200,2025-03-21 00:00:00,BAT/USD,0.14629,0.14829,0.14606,0.14655,6118.46585274,896.661170719047
1742428800,2025-03-20 00:00:00,BAT/USD,0.15553,0.15554,0.15267,0.15267,560.73898452,85.6080207666684
