https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USD
1747958400,2025-05-23 00:00:00,ZRX/USD,0.28921,0.28921,0.26247,0.26316,419069.21364851,110282.2542637419
1747872000,2025-05-22 00:00:00,ZRX/USD,0.28543,0.29203,0.28543,0.29088,2064.75702646,600.5965238566848
1747785600,2025-05-21 00:00:00,ZRX/USD,0.27776,0.27821,0.27304,0.27304,2406.34634334,657.0288055855536
1747699200,2025-05-20 00:00:00,ZRX/USD,0.27176,0.27279,0.26592,0.27279,5851.74643212,1596.2979092180146
1747612800,2025-05-19 00:00:00,ZRX/USD,0.26240,0.26840,0.25441,0.26662,18795.58900090,5011.279939419958
1747526400,2025-05-18 00:00:00,ZRX/USD,0.26528,0.28246,0.26528,0.27375,22683.70727590,6209.664866777625
1747440000,2025-05-17 00:00:00,ZRX/USD,0.27125,0.27125,0.26595,0.26595,15041.34900796,4000.246768666962
1747353600,2025-05-16 00:00:00,ZRX/USD,0.28450,0.28451,0.27473,0.27473,854.72504620,234.81861194252596
1747267200,2025-05-15 00:00:00,ZRX/USD,0.29598,0.29598,0.27474,0.27857,9931.79422457,2766.6999171384646
1747180800,2025-05-14 00:00:00,ZRX/USD,0.30993,0.31000,0.29100,0.29441,68595.63109112,20195.23974953664
1747094400,2025-05-13 00:00:00,ZRX/USD,0.30570,0.30613,0.28604,0.30613,9322.30122055,2853.8360726469714
1747008000,2025-05-12 00:00:00,ZRX/USD,0.30181,0.31038,0.29607,0.30024,115734.15163396,34748.021686580156
1746921600,2025-05-11 00:00:00,ZRX/USD,0.30660,0.30660,0.29258,0.30051,4710.72978813,1415.6214086309462
1746835200,2025-05-10 00:00:00,ZRX/USD,0.29428,0.30890,0.29277,0.30890,154481.90174805,47719.459449972645
1746748800,2025-05-09 00:00:00,ZRX/USD,0.28109,0.29749,0.28109,0.29380,392101.83240479,115199.5183605273
1746662400,2025-05-08 00:00:00,ZRX/USD,0.25538,0.28109,0.25435,0.27895,152506.19322738,42541.602600777645
1746576000,2025-05-07 00:00:00,ZRX/USD,0.24785,0.26543,0.24703,0.24890,34383.39049045,8558.025893073005
1746489600,2025-05-06 00:00:00,ZRX/USD,0.24571,0.24672,0.23347,0.24612,32598.40068415,8023.118376382999
1746403200,2025-05-05 00:00:00,ZRX/USD,0.25125,0.26893,0.24800,0.25435,22658.12266342,5763.093499440877
1746316800,2025-05-04 00:00:00,ZRX/USD,0.26032,0.26494,0.25053,0.25053,14805.78507280,3709.2933342885835
1746230400,2025-05-03 00:00:00,ZRX/USD,0.27905,0.27905,0.25942,0.26411,26950.88212694,7117.997478546124
1746144000,2025-05-02 00:00:00,ZRX/USD,0.27685,0.27991,0.27626,0.27730,17221.02111338,4775.389154740274
1746057600,2025-05-01 00:00:00,ZRX/USD,0.27691,0.28051,0.26772,0.28048,13819.42785706,3876.073125348189
1745971200,2025-04-30 00:00:00,ZRX/USD,0.27408,0.27761,0.27408,0.27761,3635.87239900,1009.35453668639
1745884800,2025-04-29 00:00:00,ZRX/USD,0.27225,0.27225,0.27225,0.27225,0.00000000,0.0
1745798400,2025-04-28 00:00:00,ZRX/USD,0.26380,0.27225,0.26380,0.27225,1169.71755852,318.45560530707
1745712000,2025-04-27 00:00:00,ZRX/USD,0.28451,0.28451,0.27332,0.27535,11355.31004021,3126.6846195718235
1745625600,2025-04-26 00:00:00,ZRX/USD,0.28295,0.28295,0.28222,0.28222,1333.00000000,376.19926000000004
1745539200,2025-04-25 00:00:00,ZRX/USD,0.26905,0.27946,0.26905,0.27834,21052.51094147,5859.755895448759
1745452800,2025-04-24 00:00:00,ZRX/USD,0.26368,0.27286,0.26368,0.26759,6271.88606913,1678.2939932384966
1745366400,2025-04-23 00:00:00,ZRX/USD,0.27133,0.27462,0.27071,0.27197,18813.91551059,5116.820601415162
1745280000,2025-04-22 00:00:00,ZRX/USD,0.25000,0.26700,0.25000,0.26700,5591.97172411,1493.05645033737
1745193600,2025-04-21 00:00:00,ZRX/USD,0.25307,0.25307,0.25307,0.25307,0.00000000,0.0
1745107200,2025-04-20 00:00:00,ZRX/USD,0.25270,0.25307,0.25270,0.25307,161.87163000,40.964853404100005
1745020800,2025-04-19 00:00:00,ZRX/USD,0.25837,0.25837,0.25742,0.25742,469.00323356,120.73081238301519
1744934400,2025-04-18 00:00:00,ZRX/USD,0.24950,0.27145,0.24950,0.25757,19657.46748135,5063.173899171319
1744848000,2025-04-17 00:00:00,ZRX/USD,0.24133,0.25154,0.24133,0.25116,21832.37590831,5483.419533131139
1744761600,2025-04-16 00:00:00,ZRX/USD,0.24035,0.24035,0.24035,0.24035,0.00000000,0.0
1744675200,2025-04-15 00:00:00,ZRX/USD,0.24035,0.24035,0.24035,0.24035,0.00000000,0.0
1744588800,2025-04-14 00:00:00,ZRX/USD,0.23439,0.24035,0.23439,0.24035,2360.47325640,567.3397471757401
1744502400,2025-04-13 00:00:00,ZRX/USD,0.24575,0.24576,0.23245,0.23245,443.61830258,103.11907443472099
1744416000,2025-04-12 00:00:00,ZRX/USD,0.25027,0.25531,0.24752,0.24752,16488.92260889,4081.3381241524526
1744329600,2025-04-11 00:00:00,ZRX/USD,0.23229,0.23278,0.23229,0.23277,2488.56932920,579.2642827578841
1744243200,2025-04-10 00:00:00,ZRX/USD,0.22836,0.23621,0.22783,0.22783,6431.41733412,1465.2698112325597
