https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1682812800,2023-04-30 00:00:00,MATIC/USD,1.00365,1.01540,0.97544,0.98119,677227.09434531,664488.4527006748
1682726400,2023-04-29 00:00:00,MATIC/USD,0.99860,1.02349,0.99351,1.00234,1031531.72904973,1033945.5132957064
1682640000,2023-04-28 00:00:00,MATIC/USD,1.00863,1.01600,0.98022,0.99656,1069094.09746492,1065416.4137696407
1682553600,2023-04-27 00:00:00,MATIC/USD,0.98205,1.02892,0.97959,1.01400,1568244.76725089,1590200.1939924024
1682467200,2023-04-26 00:00:00,MATIC/USD,1.00117,1.05848,0.94419,0.98516,1416848.55308813,1395822.520560302
1682380800,2023-04-25 00:00:00,MATIC/USD,0.98959,1.01502,0.94926,1.00710,493595.42209410,497099.94959096814
1682294400,2023-04-24 00:00:00,MATIC/USD,1.00134,1.02323,0.97298,0.98900,395510.26088266,391159.6480129507
1682208000,2023-04-23 00:00:00,MATIC/USD,1.02418,1.03237,0.97904,1.00196,308498.84187029,309103.49960035575
1682121600,2023-04-22 00:00:00,MATIC/USD,1.01171,1.02822,1.00607,1.02566,74193.78752987,76097.60011788645
1682035200,2023-04-21 00:00:00,MATIC/USD,1.04760,1.05684,0.99954,1.01140,610661.34006044,617622.8793371291
1681948800,2023-04-20 00:00:00,MATIC/USD,1.08330,1.09985,1.03735,1.04477,445134.26934112,465062.9305795219
1681862400,2023-04-19 00:00:00,MATIC/USD,1.17163,1.17729,1.06000,1.08478,1065418.33680372,1155744.5033979395
1681776000,2023-04-18 00:00:00,MATIC/USD,1.15313,1.18362,1.14331,1.17242,281470.15851664,330001.2432480791
1681689600,2023-04-17 00:00:00,MATIC/USD,1.18323,1.18402,1.14819,1.15425,475110.01530704,548395.735168151
1681603200,2023-04-16 00:00:00,MATIC/USD,1.16943,1.18956,1.15188,1.18492,756742.93619825,896679.8399600304
1681516800,2023-04-15 00:00:00,MATIC/USD,1.15943,1.18592,1.14604,1.17224,529014.42039217,620131.8641605173
1681430400,2023-04-14 00:00:00,MATIC/USD,1.13568,1.19096,1.13505,1.16505,1018705.15744541,1186842.443681775
1681344000,2023-04-13 00:00:00,MATIC/USD,1.10482,1.13873,1.09812,1.13541,448292.94293523,508996.29033808946
1681257600,2023-04-12 00:00:00,MATIC/USD,1.11555,1.11797,1.08223,1.10358,489209.59005316,539881.9193908663
1681171200,2023-04-11 00:00:00,MATIC/USD,1.11934,1.13173,1.10939,1.11285,372302.20496789,414316.50879851636
1681084800,2023-04-10 00:00:00,MATIC/USD,1.10008,1.12403,1.08902,1.12180,235605.03444108,264301.7276360035
1680998400,2023-04-09 00:00:00,MATIC/USD,1.10232,1.10956,1.08437,1.10332,351348.82972162,387650.19080845785
1680912000,2023-04-08 00:00:00,MATIC/USD,1.10637,1.11789,1.10054,1.10252,132993.08285722,146627.53371174217
1680825600,2023-04-07 00:00:00,MATIC/USD,1.11411,1.11965,1.09696,1.10781,281931.59207997,312326.63702211156
1680739200,2023-04-06 00:00:00,MATIC/USD,1.13735,1.13735,1.10741,1.11329,567361.84732106,631638.2710040628
1680652800,2023-04-05 00:00:00,MATIC/USD,1.13889,1.16811,1.12478,1.14051,476765.26811152,543755.5559338696
1680566400,2023-04-04 00:00:00,MATIC/USD,1.09681,1.15295,1.09281,1.13933,1067350.33300407,1216064.254901527
1680480000,2023-04-03 00:00:00,MATIC/USD,1.09528,1.11790,1.06941,1.09878,675418.65832687,742136.5133963982
1680393600,2023-04-02 00:00:00,MATIC/USD,1.10516,1.12189,1.08189,1.09630,304380.29581584,333692.1183029054
1680307200,2023-04-01 00:00:00,MATIC/USD,1.11761,1.12870,1.09781,1.11233,277092.78358105,308218.61596070934
1680220800,2023-03-31 00:00:00,MATIC/USD,1.09321,1.12209,1.07404,1.12104,429062.35044490,480996.0573427507
1680134400,2023-03-30 00:00:00,MATIC/USD,1.12124,1.14167,1.08200,1.08582,598922.46499708,650321.9909431294
1680048000,2023-03-29 00:00:00,MATIC/USD,1.08657,1.14584,1.08657,1.12051,608097.58409259,681379.423951588
1679961600,2023-03-28 00:00:00,MATIC/USD,1.04581,1.10904,1.03528,1.08762,997799.38666129,1085226.5689205523
1679875200,2023-03-27 00:00:00,MATIC/USD,1.10473,1.10627,1.02623,1.04776,604137.65181464,632991.2660653073
1679788800,2023-03-26 00:00:00,MATIC/USD,1.07969,1.12065,1.07436,1.10602,373188.31698229,412753.7423487524
1679702400,2023-03-25 00:00:00,MATIC/USD,1.09820,1.11281,1.06423,1.07336,315144.47655466,338263.4753547099
1679616000,2023-03-24 00:00:00,MATIC/USD,1.13753,1.14741,1.06506,1.09784,854879.66742346,938521.0940841713
1679529600,2023-03-23 00:00:00,MATIC/USD,1.11361,1.15952,1.10333,1.13799,797971.40582626,908083.4801162257
1679443200,2023-03-22 00:00:00,MATIC/USD,1.15766,1.16267,1.09000,1.10914,759344.31480804,842219.1533261895
1679356800,2023-03-21 00:00:00,MATIC/USD,1.10484,1.16947,1.08326,1.15870,1638226.15636061,1898212.6473750388
1679270400,2023-03-20 00:00:00,MATIC/USD,1.17112,1.17275,1.10194,1.10561,1297323.24592948,1434333.5539320924
